"Reference","Qty","Value","Footprint","DNP","Exclude from BOM","Exclude from Board","Datasheet"
"C1,C2,C3,C4,C9,C10,C15","7","100nF","Capacitor_SMD:C_0402_1005Metric","","","","~"
"C5","1","4.7uF","Capacitor_SMD:C_0603_1608Metric","","","","~"
"C6,C8,C12","3","1uF","Capacitor_SMD:C_0402_1005Metric","","","","~"
"C7","1","22nF","Capacitor_SMD:C_0402_1005Metric","","","","~"
"C11","1","22uF","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","","","","~"
"C13,C14","2","30pF","Capacitor_SMD:C_0402_1005Metric","","","","~"
"C16","1","10nF","Capacitor_SMD:C_0402_1005Metric","","","","~"
"D1","1","LED","LED_SMD:LED_0603_1608Metric","","","","~"
"D2","1","TVS 6V","Diode_SMD:D_0402_1005Metric","","","","https://www.vishay.com/doc?85881"
"IC1","1","AP2112K","Custom-Footprints:SOT95P285X140-5N","","","","https://www.diodes.com//assets/Datasheets/AP2112.pdf"
"IC2","1","DRV8876PWPR","Custom-Footprints:SOP65P640X120-17N","","","","http://www.ti.com/lit/ds/symlink/drv8876.pdf"
"IC4","1","TMP102xxDRL","Package_TO_SOT_SMD:SOT-563","","","","https://www.ti.com/lit/ds/symlink/tmp102.pdf"
"IC5","1","INA236AIDDFR","Custom-Footprints:SOP65P280X110-8N","","","","https://www.ti.com/lit/ds/symlink/ina232.pdf?ts=1699312390876&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FINA232%253Futm_source%253Dgoogle%2526utm_medium%253Dcpc%2526utm_campaign%253Dasc-null-null-GPN_EN-cpc-pf-google-wwe_cons%2526utm_content%2"
"J1","1","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","","","","~"
"J2,J4","2","Conn_01x04_Pin","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","","","","~"
"J3","1","MAG","Connector_PinSocket_2.00mm:PinSocket_1x04_P2.00mm_Vertical","","","","~"
"J5","1","+","Connector_Wire:SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm","","","","~"
"J6","1","-","Connector_Wire:SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm","","","","~"
"LED1","1","~","Custom-Footprints:Untitled_1","","","",""
"R1,R10","2","10k","Resistor_SMD:R_0402_1005Metric","","","","~"
"R2,R3,R4","3","220","Resistor_SMD:R_0402_1005Metric","","","","~"
"R5,R6,R12,R13,R14,R15","6","4.7k","Resistor_SMD:R_0402_1005Metric","","","","~"
"R7","1","1k","Resistor_SMD:R_0402_1005Metric","","","","~"
"R8","1","62k","Resistor_SMD:R_0402_1005Metric","","","","~"
"R9","1","8.25k","Resistor_SMD:R_0402_1005Metric","","","","~"
"R11","1","0.01","Resistor_SMD:R_1206_3216Metric","","","","~"
"U1","1","STM32F301C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","","","","https://www.st.com/resource/en/datasheet/stm32f301c8.pdf"
"U2","1","MT6701CT","Package_SO:SO-8_3.9x4.9mm_P1.27mm","","","","https://www.magntek.com.cn/upload/MT6701_Rev.1.5.pdf"
"Y1","1","25MHZ","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","","","","~"
